location_name,lat,lon,centreline_id,centreline_type,total_vehicle,total_pedestrian,collision_count,fatal_count,n_schools,n_childcare,n_libraries,n_community_centres,n_emergency_services,ltc_beds_nearby,score_traffic,score_collision,score_impact,score_density,priority_score
Ellesmere Rd / Kennedy Rd,43.7658174469517,-79.2810821983869,13447843,2,72545,8176,6,2,0,1,0,0,0,591,1.0,0.45161290322580644,0.30759493670886073,0.24561611374407583,0.594145114845212
Dundas St E / Sherbourne St,43.6582946989974,-79.3710320738273,13465366,2,16181,6979,11,5,1,3,0,2,0,0,0.2228093797372388,1.0,0.11044303797468354,0.8739928909952607,0.5374711796024964
Keele St / Steeles Ave W,43.7815419268332,-79.4944988466362,13446042,2,58824,879,10,2,0,0,0,0,0,0,0.8113776539720823,0.5806451612903226,0.0,0.1235781990521327,0.4995658052470549
Gardiner Expy E Lower Jarvis Ramp / Lake Shore Blvd E / Lakeshore W Gardiner Expy / Lower Jarvis St,43.6456312564085,-79.3698554090462,13467437,2,34490,6572,15,3,3,2,0,2,0,0,0.4757112110171379,0.8709677419354839,0.1281645569620253,0.0,0.4969705449258227
Dixon Rd / Islington Ave,43.6970494522127,-79.5467316982141,13459022,2,28254,2430,10,4,2,2,0,1,0,0,0.38921474993254823,0.8387096774193549,0.07800632911392405,0.2580568720379147,0.4711805025997423
Bathurst St / Lawrence Ave W,43.7192762668907,-79.4297598973389,13455135,2,51251,6154,7,1,7,3,1,1,1,0,0.7062395973985155,0.3548387096774194,0.3030590717299578,0.2493483412322275,0.45692405594579144
Martin Grove Rd / Dixon Rd,43.6915924887101,-79.5708382592862,13460075,2,43640,1581,10,2,1,0,0,0,1,0,0.6017032889952599,0.5806451612903226,0.12932489451476792,0.06617298578199052,0.4463042350811065
Finch Ave W / Oakdale Rd / Norfinch Dr,43.7559285558294,-79.5242871018287,13449708,2,45408,1410,6,1,2,0,0,0,1,436,0.6253632012634494,0.3225806451612903,0.36330291931718384,0.37215639810426543,0.4416565699225221
Kennedy Rd / Eglinton Ave E,43.7322510953672,-79.2679749889939,13452869,2,44016,5611,7,2,3,2,1,0,0,0,0.6067633364036309,0.4838709677419355,0.09066455696202531,0.41652843601895734,0.44150776144524906
Bloor St W / Dundas St W (East),43.6563210256757,-79.4524538746395,13465876,2,30247,17206,12,2,1,2,0,0,0,0,0.4165947666257528,0.6451612903225806,0.027848101265822784,0.583590047393365,0.43554324492441776
Lawrence Ave E / Warden Ave,43.745376510284,-79.2947303931863,13450818,2,55886,3185,5,2,0,1,0,0,0,0,0.7705348721642331,0.41935483870967744,0.007594936708860758,0.1613744075829384,0.4341178269059346
Wilson Ave / Jane St,43.7209154250532,-79.5086344158593,13455040,2,45370,12221,7,2,2,0,1,1,1,0,0.6252144219118794,0.4838709677419355,0.2169831223628692,0.0,0.431576510851409
Kennedy Rd / Lawrence Ave E,43.7495093434316,-79.2749496062131,13450163,2,55293,6158,6,1,2,0,0,1,0,128,0.7621951143556214,0.3225806451612903,0.12779107498554262,0.24561611374407583,0.4297913422024352
Spadina Ave / Dundas St W,43.6529319025589,-79.3980443881154,13466288,2,23821,36481,8,3,4,4,0,0,0,0,0.32800287435633896,0.6451612903225806,0.0810126582278481,0.6994075829383887,0.4267507475770303
Martin Grove Rd / Eglinton Ave W,43.6744777585563,-79.5631767235789,13463137,2,54911,1801,10,1,1,0,0,0,0,0,0.756700053188747,0.45161290322580644,0.012658227848101264,0.0,0.4254411803147139
Kingston Rd / Lawrence Ave E,43.7676530188982,-79.1896094920962,13447347,2,46778,5265,7,2,1,1,0,1,0,0,0.6446476013489415,0.4838709677419355,0.05775316455696203,0.16919431279620853,0.4234515633728202
Sheppard Ave E / Victoria Park Ave,43.7752446172566,-79.3230171093311,13446551,2,50547,10351,4,2,1,2,0,0,0,0,0.6960741450822235,0.3870967741935484,0.027848101265822784,0.3582345971563981,0.4205029017153245
William R Allen Rd / Sheppard Ave W,43.750251132539,-79.4633903603331,13450458,2,67593,2397,6,0,1,0,0,0,1,0,0.9321612315507627,0.1935483870967742,0.12932489451476792,0.0,0.4198633454295915
Allen Rd / Transit Rd / William R Allen Rd / Wilson Hs S Allen Rd Ramp,43.7418246574589,-79.4543107234713,13451786,2,60961,0,5,1,0,0,0,0,0,0,0.8403633011146144,0.2903225806451613,0.0,0.2357227488151659,0.4193123334974381
Steeles Ave E / Yonge St / Steeles Ave W,43.7980294054522,-79.420060868408,13443870,2,59725,11249,7,1,1,0,0,0,0,0,0.8232434311316138,0.3548387096774194,0.012658227848101264,0.0,0.41486039485278187
Brimley Rd / Eglinton Ave E,43.7366964550548,-79.2480845868724,13452119,2,41978,3655,11,1,0,0,0,0,0,0,0.5784967060571147,0.4838709677419355,0.0,0.41771327014218007,0.4136000128438856
Keele St / Lawrence Ave W,43.7086593133205,-79.4780621841021,13456952,2,50141,7428,8,1,1,0,0,0,1,0,0.6912467261983083,0.3870967741935484,0.12932489451476792,0.0,0.4032852040401034
Dufferin St / St Clair Ave W,43.6779493245737,-79.4430772259365,13462285,2,24501,16041,8,2,4,3,1,1,1,0,0.3373055034603641,0.5161290322580645,0.265084388185654,0.4430094786729858,0.3960199130058794
Lawrence Ave W / Weston Rd,43.7001581962127,-79.5162013470612,13458367,2,29648,7443,11,1,3,0,0,1,1,0,0.40860704149414556,0.4838709677419355,0.19214135021097045,0.4263625592417062,0.3934318291989931
Spadina Ave / Grange Ave (North),43.6518981908994,-79.3976361478302,13466457,2,12760,3526,6,4,2,5,0,0,0,0,0.1757852003573772,0.7096774193548387,0.06329113924050632,0.6994075829383887,0.3925109030412157
Bathurst St / Eglinton Ave W,43.7009925194722,-79.4255619572936,13458084,2,43966,7207,7,1,1,2,0,0,0,0,0.6057467421766154,0.3548387096774194,0.027848101265822784,0.477132701421801,0.38948779854425675
Markham Rd / Finch Ave E,43.8129710942175,-79.2430763785409,13442251,2,54846,2211,7,1,0,0,0,0,0,0,0.7565969163857706,0.3548387096774194,0.0,0.0,0.3890024691221165
Avenue Rd / Wilson Ave,43.7398717285074,-79.4216471196524,13452017,2,53988,3469,3,1,2,2,1,1,0,0,0.7437962173338096,0.22580645161290322,0.11550632911392406,0.2493483412322275,0.38739703407735704
Kennedy Rd / McNicoll Ave,43.8121368888185,-79.3019453667787,13442363,2,46557,2119,4,2,0,0,0,1,0,160,0.6414656733739182,0.3870967741935484,0.11871827411167513,0.0,0.3837405114709483
Lawrence Ave E / Pharmacy Ave,43.7432425201953,-79.3046455745441,13451212,2,41749,1680,4,2,2,1,0,1,0,166,0.574752511132182,0.3870967741935484,0.15467535179592623,0.1613744075829384,0.3837197609814847
McCowan Rd / Lawrence Ave E,43.7555485285071,-79.2454227767629,13449204,2,25691,1035,9,3,0,1,0,0,0,204,0.35387546743178716,0.6774193548387096,0.11114823620124653,0.0,0.3831828350349231
Don Mills Rd / Eglinton Ave E,43.7205008067867,-79.3388738773367,13454752,2,55779,3494,6,1,0,0,0,0,0,0,0.7688515226112098,0.3225806451612903,0.0,0.0,0.38200125872037505
Albion Rd / Islington Ave,43.7372367253354,-79.5653055664202,13452733,2,42808,1891,6,1,1,2,0,1,0,290,0.5898181892286056,0.3225806451612903,0.21255622309323396,0.1854265402843602,0.3803934906835464
Burnhamthorpe Rd / The West Mall,43.6445529513728,-79.5672501929689,13467918,2,41923,1770,6,1,1,1,0,0,0,191,0.5774265421639974,0.3225806451612903,0.11720747927777421,0.38992890995260665,0.37743690241466615
Lake Shore Blvd W / Lakeshore E Parkside Ramp / Parkside Dr / Parkside Dr S Lakeshore Blvd E Ramp,43.6383694457299,-79.453519595513,13468486,2,63917,343,1,0,0,0,0,0,0,0,0.880681027954701,0.03225806451612903,0.0,0.5677132701421801,0.3763000093790085
Eglinton Ave E / Victoria Park Ave,43.7247230236681,-79.3026450146389,13454107,2,44756,2625,7,1,0,1,1,0,0,0,0.6164341179146315,0.3548387096774194,0.04509493670886076,0.21516587677725119,0.3704810646767151
